2022-03-19T11:45:51.092Z, [error], Email Not Registered
2022-03-19T11:47:00.162Z, [error], Credential is Invalid
2022-03-19T11:48:47.667Z, [error], Credential is Invalid
2022-03-19T11:50:26.541Z, [error], User not found
2022-03-19T12:54:08.664Z, [error], User not found
2022-03-19T12:55:17.860Z, [error], User not found
2022-03-19T12:56:03.614Z, [error], User not found
2022-03-19T12:56:52.851Z, [error], User not found
2022-03-19T12:59:18.306Z, [error], Credential is Invalid
2022-03-20T07:39:34.113Z, [info], [object Object]
2022-03-20T07:40:03.975Z, [info], [object Object]
2022-03-20T07:50:49.469Z, [info], server running at port 3000
2022-03-20T07:51:51.116Z, [info], server running at port 3000
